ID,hexaco_HH,hexaco_E,hexaco_X,hexaco_A,hexaco_C,hexaco_O,Machiavellianism,Narcissism,Psychopathy,power_harassment,gender_harassment,age,gender,area
SBZ0089,3.2,3,3,2.7,3.3,2.8,3.2,3.2,3.2,2.1,3.2,40,0,Kanto
SBZ0090,2.7,3.7,2.1,4.3,3.1,2.2,3,2,2.1,1,1.3,30,0,Kinki
SBZ0091,2.4,4.3,3.6,2.2,3,3.7,3.8,3.6,2.4,1.3,2.5,40,1,Kinki
SBZ0092,3.2,4.4,1.8,1.9,3.7,1.7,4.4,1.6,2.6,1.3,1.4,20,1,Tokai
SBZ0093,4,3.1,3.5,2.2,3.6,2.9,3.4,2.3,2.9,1.2,1.2,40,1,Kyushu
SBZ0094,2.7,3.5,3,2.6,2.6,3.6,3.9,1.8,2.8,1.1,1.1,10,0,Kanto
SBZ0095,3,3.2,2.7,2.9,3,2.9,3,2.9,2.7,2.5,1.9,20,1,Kinki
SBZ0096,3,3.1,2.3,2.5,2.9,2.6,3.3,2.8,3,1.4,2.2,30,0,Kyushu
SBZ0097,4,2.8,3.3,3.3,3.4,3.6,2.4,1.7,2.6,1,1.8,40,1,Kanto
SBZ0098,3.1,3.4,2.8,2.7,2.7,3.5,4.2,2.7,2.7,1.1,2.5,30,1,Kinki
SBZ0099,3.9,2.9,1.8,2.9,3.2,2.9,2.4,1.7,1.2,1,1.2,30,0,Kanto
SBZ0100,3.4,4.3,2.1,2.3,2.8,2.9,3.1,1.6,2.2,1.1,1.5,40,0,Kanto
SBZ0101,3.9,3.3,1.6,2.7,3.6,2.3,2.6,1,2.1,1.2,1.2,40,0,Tokai
SBZ0102,3.1,3.7,3.2,3.2,4,3,3.3,3.1,1.9,1,1.2,60,1,Kanto
SBZ0103,3.6,3.4,3.4,2.2,2.9,2.6,4,2.6,3.4,1.1,1.3,40,0,Tokai
SBZ0104,3.6,3.5,2.7,2.8,4.2,4.3,3.9,1.9,1.4,1,1,50,1,Kanto
SBZ0105,3.2,3.4,3.7,3.1,3.2,3.4,2.7,2.2,2.2,1.2,2,40,0,Shikoku
SBZ0106,3.3,4.3,1.4,1.6,2.8,2.2,4.1,2.6,3.9,1.8,3.7,40,0,Kanto
